caseId,caseNo,editorialType,figureId,tableId,assetType,proposedCaption,sourceType,sourceMaster,sourceTrace,evidenceClass,anonymizationRequired,unitCheck,permissionStatus,assetStatus,finalAssetPath,sha,pixelDimensions,maxPrintWidth300dpiMm,finalPage,notes
"CASE42","42","DEEP_DIVE_CANDIDATE","CASE42-F01","","FIGURE","CDA 에너지원단위 개선 전·후 비교","APPROVED_WEB_ASSET + APPROVED_FINAL_SOURCE","02_BOOK_SOURCE/CASE42_APPROVED_FINAL.txt","반도체·디스플레이 생산시설 Utility(CDA·냉동기·보일러) 및 다수 생산거점","A/B/C mixed","YES","SOURCE_LOCKED / PRINT_UNIT_CHECK_PENDING","BOOK_PRINT_PERMISSION_REVIEW","ASSET_EXISTS / 300DPI_OK_WITHIN_MAX_WIDTH","assets/case42-81-final/CASE42_FIG01_WEB_REV01.png","a4ee49baf9b6dc60da8930be5683e015750d6084","1510x936","127.8","","Same-project relation: CASE11 / SAME_PROJECT_EXPANDED_COMPANION. Avoid duplicate figure if current-book figure already explains same point."
"CASE42","42","DEEP_DIVE_CANDIDATE","","CASE42-T01","TABLE","핵심 KPI·성과·Measurement Boundary 요약표","APPROVED_FINAL_SOURCE / MANUSCRIPT_DERIVED","02_BOOK_SOURCE/CASE42_APPROVED_FINAL.txt","반도체·디스플레이 생산시설 Utility(CDA·냉동기·보일러) 및 다수 생산거점","A/B/C mixed","YES","SOURCE_VALUE_RECHECK_REQUIRED","BOOK_TEXT_SOURCE_REVIEW","CROSS_REFERENCE_OR_NEW_TABLE_AFTER_DUPLICATION_REVIEW","","","","","","Overlap with CASE11; avoid repeating the same numeric table. New table only if it answers a distinct question."
"CASE43","43","APPLICATION_CASE","CASE43-F01","","FIGURE","냉동기 실제 가동대수 2.1대 vs 필요대수 1.2대","APPROVED_WEB_ASSET + APPROVED_FINAL_SOURCE","02_BOOK_SOURCE/CASE43_APPROVED_FINAL.txt","냉동·공조·압축공기 Utility 통합","B/C","YES","SOURCE_LOCKED / PRINT_UNIT_CHECK_PENDING","BOOK_PRINT_PERMISSION_REVIEW","ASSET_EXISTS / 300DPI_OK_WITHIN_MAX_WIDTH","assets/case42-81-final/CASE43_FIG01_WEB.png","7d6edf7c6983c2a0ea28c719babf9c3fc7c1ace1","1510x936","127.8","","Same-project relation: CASE12 / SAME_PROJECT_EXPANDED_COMPANION. Avoid duplicate figure if current-book figure already explains same point."
"CASE43","43","APPLICATION_CASE","","CASE43-T01","TABLE","핵심 KPI·성과·Measurement Boundary 요약표","APPROVED_FINAL_SOURCE / MANUSCRIPT_DERIVED","02_BOOK_SOURCE/CASE43_APPROVED_FINAL.txt","냉동·공조·압축공기 Utility 통합","B/C","YES","SOURCE_VALUE_RECHECK_REQUIRED","BOOK_TEXT_SOURCE_REVIEW","CROSS_REFERENCE_OR_NEW_TABLE_AFTER_DUPLICATION_REVIEW","","","","","","Overlap with CASE12; avoid repeating the same numeric table. New table only if it answers a distinct question."
"CASE44","44","DEEP_DIVE_CANDIDATE","CASE44-F01","","FIGURE","4개 생산시설 LT 냉동기 UPI 비교","APPROVED_WEB_ASSET + APPROVED_FINAL_SOURCE","02_BOOK_SOURCE/CASE44_APPROVED_FINAL.txt","4개 생산시설 냉동기 및 CDA","B/C","YES","SOURCE_LOCKED / PRINT_UNIT_CHECK_PENDING","BOOK_PRINT_PERMISSION_REVIEW","ASSET_EXISTS / 300DPI_OK_WITHIN_MAX_WIDTH","assets/case42-81-final/CASE44_FIG01_WEB.png","cf7c4676877012887118e43af83ab89b66663db3","1510x936","127.8","","Same-project relation: CASE13 / SAME_PROJECT_EXPANDED_COMPANION. Avoid duplicate figure if current-book figure already explains same point."
"CASE44","44","DEEP_DIVE_CANDIDATE","CASE44-F02","","FIGURE","4개 생산시설 CDA UPI 비교","APPROVED_WEB_ASSET + APPROVED_FINAL_SOURCE","02_BOOK_SOURCE/CASE44_APPROVED_FINAL.txt","4개 생산시설 냉동기 및 CDA","B/C","YES","SOURCE_LOCKED / PRINT_UNIT_CHECK_PENDING","BOOK_PRINT_PERMISSION_REVIEW","ASSET_EXISTS / 300DPI_OK_WITHIN_MAX_WIDTH","assets/case42-81-final/CASE44_FIG05_WEB.png","56ee36627d1d179ab0a0849575b32dae4c002574","1510x936","127.8","","Same-project relation: CASE13 / SAME_PROJECT_EXPANDED_COMPANION. Avoid duplicate figure if current-book figure already explains same point."
"CASE44","44","DEEP_DIVE_CANDIDATE","","CASE44-T01","TABLE","핵심 KPI·성과·Measurement Boundary 요약표","APPROVED_FINAL_SOURCE / MANUSCRIPT_DERIVED","02_BOOK_SOURCE/CASE44_APPROVED_FINAL.txt","4개 생산시설 냉동기 및 CDA","B/C","YES","SOURCE_VALUE_RECHECK_REQUIRED","BOOK_TEXT_SOURCE_REVIEW","CROSS_REFERENCE_OR_NEW_TABLE_AFTER_DUPLICATION_REVIEW","","","","","","Overlap with CASE13; avoid repeating the same numeric table. New table only if it answers a distinct question."
"CASE45","45","APPLICATION_CASE","CASE45-F00","","FIGURE","NO VISUAL — 승인된 source-backed PNG asset 없음","NO_VISUAL","02_BOOK_SOURCE/CASE45_APPROVED_FINAL.txt","대형 반도체 제조공장 냉동기·공기압축기","B/C","YES","N/A","N/A","NO_VISUAL","","","","","","Cross-reference preferred to CASE14; do not create decorative/placeholder chart."
"CASE45","45","APPLICATION_CASE","","CASE45-T01","TABLE","핵심 KPI·성과·Measurement Boundary 요약표","APPROVED_FINAL_SOURCE / MANUSCRIPT_DERIVED","02_BOOK_SOURCE/CASE45_APPROVED_FINAL.txt","대형 반도체 제조공장 냉동기·공기압축기","B/C","YES","SOURCE_VALUE_RECHECK_REQUIRED","BOOK_TEXT_SOURCE_REVIEW","CROSS_REFERENCE_OR_NEW_TABLE_AFTER_DUPLICATION_REVIEW","","","","","","Overlap with CASE14; avoid repeating the same numeric table. New table only if it answers a distinct question."
"CASE46","46","APPLICATION_CASE","CASE46-F00","","FIGURE","NO VISUAL — 승인된 source-backed PNG asset 없음","NO_VISUAL","02_BOOK_SOURCE/CASE46_APPROVED_FINAL.txt","다수 IDC 층별 PUE 및 냉방설비","B/C mixed","YES","N/A","N/A","NO_VISUAL","","","","","","Cross-reference preferred to CASE38; do not create decorative/placeholder chart."
"CASE46","46","APPLICATION_CASE","","CASE46-T01","TABLE","핵심 KPI·성과·Measurement Boundary 요약표","APPROVED_FINAL_SOURCE / MANUSCRIPT_DERIVED","02_BOOK_SOURCE/CASE46_APPROVED_FINAL.txt","다수 IDC 층별 PUE 및 냉방설비","B/C mixed","YES","SOURCE_VALUE_RECHECK_REQUIRED","BOOK_TEXT_SOURCE_REVIEW","CROSS_REFERENCE_OR_NEW_TABLE_AFTER_DUPLICATION_REVIEW","","","","","","Overlap with CASE38; avoid repeating the same numeric table. New table only if it answers a distinct question."
"CASE47","47","APPLICATION_CASE","CASE47-F00","","FIGURE","NO VISUAL — 승인된 source-backed PNG asset 없음","NO_VISUAL","02_BOOK_SOURCE/CASE47_APPROVED_FINAL.txt","다수 IDC 전체전력·IT전력·냉방전력 및 냉방설비","C + B baseline","YES","N/A","N/A","NO_VISUAL","","","","","","Cross-reference preferred to CASE39; do not create decorative/placeholder chart."
"CASE47","47","APPLICATION_CASE","","CASE47-T01","TABLE","핵심 KPI·성과·Measurement Boundary 요약표","APPROVED_FINAL_SOURCE / MANUSCRIPT_DERIVED","02_BOOK_SOURCE/CASE47_APPROVED_FINAL.txt","다수 IDC 전체전력·IT전력·냉방전력 및 냉방설비","C + B baseline","YES","SOURCE_VALUE_RECHECK_REQUIRED","BOOK_TEXT_SOURCE_REVIEW","CROSS_REFERENCE_OR_NEW_TABLE_AFTER_DUPLICATION_REVIEW","","","","","","Overlap with CASE39; avoid repeating the same numeric table. New table only if it answers a distinct question."
"CASE48","48","APPLICATION_CASE","CASE48-F00","","FIGURE","NO VISUAL — 승인된 source-backed PNG asset 없음","NO_VISUAL","02_BOOK_SOURCE/CASE48_APPROVED_FINAL.txt","133층 복합건물 설계안","D","YES","N/A","N/A","NO_VISUAL","","","","","","Cross-reference preferred to CASE36; do not create decorative/placeholder chart."
"CASE48","48","APPLICATION_CASE","","CASE48-T01","TABLE","핵심 KPI·성과·Measurement Boundary 요약표","APPROVED_FINAL_SOURCE / MANUSCRIPT_DERIVED","02_BOOK_SOURCE/CASE48_APPROVED_FINAL.txt","133층 복합건물 설계안","D","YES","SOURCE_VALUE_RECHECK_REQUIRED","BOOK_TEXT_SOURCE_REVIEW","CROSS_REFERENCE_OR_NEW_TABLE_AFTER_DUPLICATION_REVIEW","","","","","","Overlap with CASE36; avoid repeating the same numeric table. New table only if it answers a distinct question."
"CASE49","49","APPLICATION_CASE","CASE49-F00","","FIGURE","NO VISUAL — 승인된 source-backed PNG asset 없음","NO_VISUAL","02_BOOK_SOURCE/CASE49_APPROVED_FINAL.txt","체육관 건물 설계/에너지 모델","D","YES","N/A","N/A","NO_VISUAL","","","","","","Do not generate a chart unless original/approved source data is linked."
"CASE49","49","APPLICATION_CASE","","CASE49-T01","TABLE","핵심 KPI·성과·Measurement Boundary 요약표","APPROVED_FINAL_SOURCE / MANUSCRIPT_DERIVED","02_BOOK_SOURCE/CASE49_APPROVED_FINAL.txt","체육관 건물 설계/에너지 모델","D","YES","SOURCE_VALUE_RECHECK_REQUIRED","BOOK_TEXT_SOURCE_REVIEW","TABLE_CANDIDATE","","","","","","Recheck all values/units against approved final source before Word integration."
"CASE50","50","APPLICATION_CASE","CASE50-F00","","FIGURE","NO VISUAL — 승인된 source-backed PNG asset 없음","NO_VISUAL","02_BOOK_SOURCE/CASE50_APPROVED_FINAL.txt","보육시설 Passive House 설계안","D","YES","N/A","N/A","NO_VISUAL","","","","","","Do not generate a chart unless original/approved source data is linked."
"CASE50","50","APPLICATION_CASE","","CASE50-T01","TABLE","핵심 KPI·성과·Measurement Boundary 요약표","APPROVED_FINAL_SOURCE / MANUSCRIPT_DERIVED","02_BOOK_SOURCE/CASE50_APPROVED_FINAL.txt","보육시설 Passive House 설계안","D","YES","SOURCE_VALUE_RECHECK_REQUIRED","BOOK_TEXT_SOURCE_REVIEW","TABLE_CANDIDATE","","","","","","Recheck all values/units against approved final source before Word integration."
"CASE51","51","APPLICATION_CASE","CASE51-F01","","FIGURE","ASHRAE Appendix G 0°/90°/180°/270° Baseline Rotation 개념","APPROVED_WEB_ASSET + APPROVED_FINAL_SOURCE","02_BOOK_SOURCE/CASE51_APPROVED_FINAL_REV02.txt","국제업무지구 업무시설 LEED EAc1 모델","D","YES","SOURCE_LOCKED / PRINT_UNIT_CHECK_PENDING","BOOK_PRINT_PERMISSION_REVIEW","ASSET_EXISTS / 300DPI_OK_WITHIN_MAX_WIDTH","assets/case42-81-final/CASE51_FIG02_WEB.png","97303483e385f2234b92cf7348ee9385ecc30062","1510x936","127.8","","Same-project relation: CASE35 / SAME_PROJECT_DEEP_DIVE. Avoid duplicate figure if current-book figure already explains same point."
"CASE51","51","APPLICATION_CASE","","CASE51-T01","TABLE","핵심 KPI·성과·Measurement Boundary 요약표","APPROVED_FINAL_SOURCE / MANUSCRIPT_DERIVED","02_BOOK_SOURCE/CASE51_APPROVED_FINAL_REV02.txt","국제업무지구 업무시설 LEED EAc1 모델","D","YES","SOURCE_VALUE_RECHECK_REQUIRED","BOOK_TEXT_SOURCE_REVIEW","CROSS_REFERENCE_OR_NEW_TABLE_AFTER_DUPLICATION_REVIEW","","","","","","Overlap with CASE35; avoid repeating the same numeric table. New table only if it answers a distinct question."
"CASE52","52","DEEP_DIVE_CANDIDATE","CASE52-F00","","FIGURE","NO VISUAL — 승인된 source-backed PNG asset 없음","NO_VISUAL","02_BOOK_SOURCE/CASE52_APPROVED_FINAL.txt","기존 LOCK Boundary 유지","Field Data + Test & Adjust","YES","N/A","N/A","NO_VISUAL","","","","","","Do not generate a chart unless original/approved source data is linked."
"CASE52","52","DEEP_DIVE_CANDIDATE","","CASE52-T01","TABLE","핵심 KPI·성과·Measurement Boundary 요약표","APPROVED_FINAL_SOURCE / MANUSCRIPT_DERIVED","02_BOOK_SOURCE/CASE52_APPROVED_FINAL.txt","기존 LOCK Boundary 유지","Field Data + Test & Adjust","YES","SOURCE_VALUE_RECHECK_REQUIRED","BOOK_TEXT_SOURCE_REVIEW","TABLE_CANDIDATE","","","","","","Recheck all values/units against approved final source before Word integration."
"CASE53","53","APPLICATION_CASE","CASE53-F01","","FIGURE","2,000 USRT·7℃·630 m³/h 대표 냉동기 운전조건","APPROVED_WEB_ASSET + APPROVED_FINAL_SOURCE","02_BOOK_SOURCE/CASE53_APPROVED_FINAL.txt","기존 LOCK Boundary 유지","Field Data + Test & Adjust","YES","SOURCE_LOCKED / PRINT_UNIT_CHECK_PENDING","BOOK_PRINT_PERMISSION_REVIEW","ASSET_EXISTS / 300DPI_OK_WITHIN_MAX_WIDTH","assets/case42-81-final/CASE53_FIG01_WEB.png","da7a22439b5246dac0f7310c464d6830bf9b8576","1511x852","127.9","","Same-project relation: CASE10 / RELATED_CHILLER_PLANT_METHODS. Avoid duplicate figure if current-book figure already explains same point."
"CASE53","53","APPLICATION_CASE","","CASE53-T01","TABLE","핵심 KPI·성과·Measurement Boundary 요약표","APPROVED_FINAL_SOURCE / MANUSCRIPT_DERIVED","02_BOOK_SOURCE/CASE53_APPROVED_FINAL.txt","기존 LOCK Boundary 유지","Field Data + Test & Adjust","YES","SOURCE_VALUE_RECHECK_REQUIRED","BOOK_TEXT_SOURCE_REVIEW","CROSS_REFERENCE_OR_NEW_TABLE_AFTER_DUPLICATION_REVIEW","","","","","","Overlap with CASE10; avoid repeating the same numeric table. New table only if it answers a distinct question."
"CASE54","54","APPLICATION_CASE","CASE54-F00","","FIGURE","NO VISUAL — 승인된 source-backed PNG asset 없음","NO_VISUAL","02_BOOK_SOURCE/CASE54_APPROVED_FINAL.txt","기존 LOCK Boundary 유지","C","YES","N/A","N/A","NO_VISUAL","","","","","","Do not generate a chart unless original/approved source data is linked."
"CASE54","54","APPLICATION_CASE","","CASE54-T01","TABLE","핵심 KPI·성과·Measurement Boundary 요약표","APPROVED_FINAL_SOURCE / MANUSCRIPT_DERIVED","02_BOOK_SOURCE/CASE54_APPROVED_FINAL.txt","기존 LOCK Boundary 유지","C","YES","SOURCE_VALUE_RECHECK_REQUIRED","BOOK_TEXT_SOURCE_REVIEW","TABLE_CANDIDATE","","","","","","Recheck all values/units against approved final source before Word integration."
"CASE55","55","APPLICATION_CASE","CASE55-F00","","FIGURE","NO VISUAL — 승인된 source-backed PNG asset 없음","NO_VISUAL","02_BOOK_SOURCE/CASE55_APPROVED_FINAL.txt","기존 LOCK Boundary 유지","C","YES","N/A","N/A","NO_VISUAL","","","","","","Cross-reference preferred to CASE10; do not create decorative/placeholder chart."
"CASE55","55","APPLICATION_CASE","","CASE55-T01","TABLE","핵심 KPI·성과·Measurement Boundary 요약표","APPROVED_FINAL_SOURCE / MANUSCRIPT_DERIVED","02_BOOK_SOURCE/CASE55_APPROVED_FINAL.txt","기존 LOCK Boundary 유지","C","YES","SOURCE_VALUE_RECHECK_REQUIRED","BOOK_TEXT_SOURCE_REVIEW","CROSS_REFERENCE_OR_NEW_TABLE_AFTER_DUPLICATION_REVIEW","","","","","","Overlap with CASE10; avoid repeating the same numeric table. New table only if it answers a distinct question."
"CASE56","56","DEEP_DIVE_CANDIDATE","CASE56-F01","","FIGURE","냉동기 #10→#9 및 #4→#3 교체운전 Field Test 비교","APPROVED_WEB_ASSET + APPROVED_FINAL_SOURCE","02_BOOK_SOURCE/CASE56_APPROVED_FINAL.txt","기존 LOCK Boundary 유지","A","YES","SOURCE_LOCKED / PRINT_UNIT_CHECK_PENDING","BOOK_PRINT_PERMISSION_REVIEW","ASSET_EXISTS / 300DPI_OK_WITHIN_MAX_WIDTH","assets/case42-81-final/CASE56_FIG01_WEB.png","48623510201a2bc53225f369cbfcb01a0358f3c8","1510x936","127.8","","Same-project relation: CASE10 / RELATED_CHILLER_PLANT_METHODS. Avoid duplicate figure if current-book figure already explains same point."
"CASE56","56","DEEP_DIVE_CANDIDATE","","CASE56-T01","TABLE","핵심 KPI·성과·Measurement Boundary 요약표","APPROVED_FINAL_SOURCE / MANUSCRIPT_DERIVED","02_BOOK_SOURCE/CASE56_APPROVED_FINAL.txt","기존 LOCK Boundary 유지","A","YES","SOURCE_VALUE_RECHECK_REQUIRED","BOOK_TEXT_SOURCE_REVIEW","CROSS_REFERENCE_OR_NEW_TABLE_AFTER_DUPLICATION_REVIEW","","","","","","Overlap with CASE10; avoid repeating the same numeric table. New table only if it answers a distinct question."
"CASE57","57","APPLICATION_CASE","CASE57-F00","","FIGURE","NO VISUAL — 승인된 source-backed PNG asset 없음","NO_VISUAL","02_BOOK_SOURCE/CASE57_APPROVED_FINAL.txt","기존 LOCK Boundary 유지","C","YES","N/A","N/A","NO_VISUAL","","","","","","Cross-reference preferred to CASE10; do not create decorative/placeholder chart."
"CASE57","57","APPLICATION_CASE","","CASE57-T01","TABLE","핵심 KPI·성과·Measurement Boundary 요약표","APPROVED_FINAL_SOURCE / MANUSCRIPT_DERIVED","02_BOOK_SOURCE/CASE57_APPROVED_FINAL.txt","기존 LOCK Boundary 유지","C","YES","SOURCE_VALUE_RECHECK_REQUIRED","BOOK_TEXT_SOURCE_REVIEW","CROSS_REFERENCE_OR_NEW_TABLE_AFTER_DUPLICATION_REVIEW","","","","","","Overlap with CASE10; avoid repeating the same numeric table. New table only if it answers a distinct question."
"CASE58","58","APPLICATION_CASE","CASE58-F00","","FIGURE","NO VISUAL — 승인된 source-backed PNG asset 없음","NO_VISUAL","02_BOOK_SOURCE/CASE58_APPROVED_FINAL.txt","기존 LOCK Boundary 유지","C","YES","N/A","N/A","NO_VISUAL","","","","","","Cross-reference preferred to CASE10; do not create decorative/placeholder chart."
"CASE58","58","APPLICATION_CASE","","CASE58-T01","TABLE","핵심 KPI·성과·Measurement Boundary 요약표","APPROVED_FINAL_SOURCE / MANUSCRIPT_DERIVED","02_BOOK_SOURCE/CASE58_APPROVED_FINAL.txt","기존 LOCK Boundary 유지","C","YES","SOURCE_VALUE_RECHECK_REQUIRED","BOOK_TEXT_SOURCE_REVIEW","CROSS_REFERENCE_OR_NEW_TABLE_AFTER_DUPLICATION_REVIEW","","","","","","Overlap with CASE10; avoid repeating the same numeric table. New table only if it answers a distinct question."
"CASE59","59","APPLICATION_CASE","CASE59-F00","","FIGURE","NO VISUAL — 승인된 source-backed PNG asset 없음","NO_VISUAL","02_BOOK_SOURCE/CASE59_APPROVED_FINAL.txt","기존 LOCK Boundary 유지","C","YES","N/A","N/A","NO_VISUAL","","","","","","Do not generate a chart unless original/approved source data is linked."
"CASE59","59","APPLICATION_CASE","","CASE59-T01","TABLE","핵심 KPI·성과·Measurement Boundary 요약표","APPROVED_FINAL_SOURCE / MANUSCRIPT_DERIVED","02_BOOK_SOURCE/CASE59_APPROVED_FINAL.txt","기존 LOCK Boundary 유지","C","YES","SOURCE_VALUE_RECHECK_REQUIRED","BOOK_TEXT_SOURCE_REVIEW","TABLE_CANDIDATE","","","","","","Recheck all values/units against approved final source before Word integration."
"CASE60","60","DEEP_DIVE_CANDIDATE","CASE60-F00","","FIGURE","NO VISUAL — 승인된 source-backed PNG asset 없음","NO_VISUAL","02_BOOK_SOURCE/CASE60_APPROVED_FINAL.txt","기존 LOCK Boundary 유지","A","YES","N/A","N/A","NO_VISUAL","","","","","","Cross-reference preferred to CASE10; do not create decorative/placeholder chart."
