caseId,caseNo,title,part,chapter,chapterTitle,editorialAction,linkedCurrentCase,overlapRelation,evidence,sourceStatus,finalReview,visualType,visualDecision,visualCaption,page
"CASE42","42","반도체·디스플레이 제조시설 Utility 운전최적화와 실시간 효율관리 체계 구축","3","12","반도체 Multi-Utility 통합 최적화","COMPANION_MERGE_WITH_EXISTING_CASE","CASE11","SAME_PROJECT_EXPANDED_COMPANION","A/B/C mixed","APPROVED_FINAL_SOURCE_RECOVERED","USER_CONFIRMATION_PENDING","FIGURE","KEEP","CDA 에너지원단위 개선 전·후 비교",""
"CASE43","43","냉동·공조·압축공기 통합 운전분석을 통한 Utility Balance 최적화","3","12","반도체 Multi-Utility 통합 최적화","COMPANION_MERGE_WITH_EXISTING_CASE","CASE12","SAME_PROJECT_EXPANDED_COMPANION","B/C","APPROVED_FINAL_SOURCE_RECOVERED","USER_CONFIRMATION_PENDING","FIGURE","KEEP","냉동기 실제 가동대수 2.1대 vs 필요대수 1.2대",""
"CASE44","44","4개 생산시설 Utility 성능 Benchmark를 통한 UPI·가동대수 최적화","3","12","반도체 Multi-Utility 통합 최적화","COMPANION_MERGE_WITH_EXISTING_CASE","CASE13","SAME_PROJECT_EXPANDED_COMPANION","B/C","APPROVED_FINAL_SOURCE_RECOVERED","USER_CONFIRMATION_PENDING","FIGURE","KEEP","4개 생산시설 LT 냉동기 UPI 비교",""
"CASE45","45","고효율 반도체공장에서 Big-data로 찾아낸 Utility 잔여 절감기회","3","12","반도체 Multi-Utility 통합 최적화","COMPANION_MERGE_WITH_EXISTING_CASE","CASE14","SAME_PROJECT_EXPANDED_COMPANION","B/C","APPROVED_FINAL_SOURCE_RECOVERED","USER_CONFIRMATION_PENDING","NO_VISUAL","NONE","",""
"CASE46","46","PUE 이상을 냉방설비까지 추적한 다중 데이터센터 성능개선","5","24","데이터센터 PUE와 냉방 최적화","SUBCASE_UNDER_EXISTING_UMBRELLA","CASE38","UMBRELLA_TO_SUBCASES","B/C mixed","APPROVED_FINAL_SOURCE_RECOVERED","USER_CONFIRMATION_PENDING","NO_VISUAL","NONE","",""
"CASE47","47","PUE를 ‘보고용 숫자’에서 ‘운전 의사결정’으로 바꾼 다중 데이터센터 실시간 성능최적화","5","24","데이터센터 PUE와 냉방 최적화","SUBCASE_UNDER_EXISTING_UMBRELLA","CASE39","UMBRELLA_TO_PLATFORM_DEEP_DIVES","C + B baseline","APPROVED_FINAL_SOURCE_RECOVERED","USER_CONFIRMATION_PENDING","NO_VISUAL","NONE","",""
"CASE48","48","133층 초고층 복합건물의 에너지성능을 설계 전에 예측한 DOE-2.1E Simulation","5","23","신축건물 Energy Modeling","COMPANION_MERGE_WITH_EXISTING_CASE","CASE36","SAME_PROJECT_DEEP_DIVE","D","APPROVED_FINAL_SOURCE_RECOVERED","USER_CONFIRMATION_PENDING","NO_VISUAL","NONE","",""
"CASE49","49","외피·조명·열원설비 설계변경이 건물에너지에 미치는 영향을 비교한 Simulation","5","23","신축건물 Energy Modeling","INSERT_NEW_CASE","","","D","APPROVED_FINAL_SOURCE_RECOVERED","USER_CONFIRMATION_PENDING","NO_VISUAL","NONE","",""
"CASE50","50","대형 오피스 빌딩의 창면적·유리성능 변화가 냉난방 에너지에 미치는 영향을 비교한 Simulation","5","23","신축건물 Energy Modeling","HOLD_SOURCE_RECONCILIATION","","","D","APPROVED_FINAL_SOURCE_RECOVERED","SOURCE_RECONCILIATION_REQUIRED","NO_VISUAL","NONE","",""
"CASE51","51","ASHRAE 90.1 Appendix G Baseline과 설계안을 비교한 대형 복합건물 LEED 에너지모델링","5","23","신축건물 Energy Modeling","COMPANION_MERGE_WITH_EXISTING_CASE","CASE35","SAME_PROJECT_DEEP_DIVE","D","APPROVED_FINAL_SOURCE_RECOVERED","USER_CONFIRMATION_PENDING","FIGURE","KEEP","ASHRAE Appendix G 4방위 Baseline Rotation",""
