caseId,assetOrTable,publicationType,candidateCaption,sourceNote,evidenceNote,duplicateControl,status
"CASE42","CASE42-F01","FIGURE","CDA 에너지원단위 개선 전·후 비교","승인 Web Asset / Approved Final Source","실제 적용성과와 추가 잠재량을 구분","CASE11 전체 Portfolio 설명과 중복 금지","KEEP_CANDIDATE"
"CASE43","CASE43-F01","FIGURE","실제 가동대수와 부하기준 필요대수 비교","승인 Web Asset / Approved Final Source","절감률이 아니라 운전여유를 보여주는 진단값","CASE12 UPI/COP 표와 다른 질문으로 사용","KEEP_CANDIDATE"
"CASE44","CASE44-F01","FIGURE","4개 생산시설 저온냉동기 UPI Benchmark","승인 Web Asset / Approved Final Source","Benchmark Gap은 절감률이 아님","CASE13 전체 Benchmark 표를 반복하지 않음","KEEP_CANDIDATE"
"CASE44","CASE44-F02","FIGURE","4개 생산시설 CDA UPI Benchmark","승인 Web Asset / Approved Final Source","Benchmark Gap은 절감률이 아님","F01과 동시 사용 시 과밀 여부 검토","OPTIONAL"
"CASE51","CASE51-F01","FIGURE","Appendix G Baseline Building의 4방위 Rotation 개념","승인 Web Asset / Approved Final REV02","Simulation/Modeling","CASE35 개요 Figure와 역할 분리","KEEP_CANDIDATE"
"CASE53","CASE53-T01","FACT_BOX","대표 냉동기 운전조건: 2,000 USRT · 7℃ · 630 m³/h","Approved Final Source","운전조건이며 절감성과 아님","Raster Figure 대신 Fact Box","PREFERRED"
"CASE56","CASE56-F01","FIGURE","냉동기 교체운전 Test의 호기별 kW/RT 비교","승인 Web Asset / Approved Final Source","Field Test Verified","Chapter 11 대표 Test Figure","KEEP_HIGH"
"CASE63","CASE63-F01","FIGURE","호기별 kW/RT와 부하율 비교를 이용한 Load Dispatch","승인 Web Asset / Approved Final Source","Verified Saving","CASE56 Selection과 질문 분리","KEEP_HIGH"
"CASE64","CASE64-T01","FACT_BOX","필요 6대 · 실제 8대 · 평균 부하율 75%","Approved Final Source","Program-level result와 단일 Staging 효과 분리","Raster Figure 대신 Fact Box","PREFERRED"
"CASE65","CASE65-F01","FIGURE","보일러 2호기와 3호기의 연료원단위 N㎥/ton 비교","승인 Web Asset / Approved Final Source","Field Test Verified Saving","신규 Boiler Chapter 대표 Figure","KEEP_HIGH"
"CASE66","CASE66-T01","TABLE","30 ton/h 1대와 15 ton/h × 2대 운전조합 비교","Approved Final Source","Test 조건이며 독립 절감성과 아님","CASE65 연료원단위 Figure와 역할 분리","PREFERRED"
