caseNo,caseId,webTitle,batch,proposedPart,proposedChapter,proposedChapterTitle,placementStatus,evidenceStatus,auditFlags,sourceTrace,bookIncluded,bookPage,mappingStatus
"42","CASE42","반도체·디스플레이 제조시설 Utility 운전최적화와 실시간 효율관리 체계 구축","A_42_51","3","12","반도체 Multi-Utility 통합 최적화","PROPOSED_EXISTING_CHAPTER","B / A-C mixed","EVIDENCE_MIXED_A_B_C","Final_51CASE + multi-site Utility historical source","false","","PHASE3_DRAFT_REVIEW"
"43","CASE43","냉동·공조·압축공기 통합 운전분석을 통한 Utility Balance 최적화","A_42_51","3","12","반도체 Multi-Utility 통합 최적화","PROPOSED_EXISTING_CHAPTER","B/C","EVIDENCE_B_C","Final_51CASE + 냉동·공조·압축공기 운전데이터 historical source","false","","PHASE3_DRAFT_REVIEW"
"44","CASE44","4개 생산시설 Utility 성능 Benchmark를 통한 UPI·가동대수 최적화","A_42_51","3","12","반도체 Multi-Utility 통합 최적화","PROPOSED_EXISTING_CHAPTER","B/C","EVIDENCE_B_C","Final_51CASE + 4개 생산시설 Benchmark historical source","false","","PHASE3_DRAFT_REVIEW"
"45","CASE45","고효율 반도체공장에서 Big-data로 찾아낸 Utility 잔여 절감기회","A_42_51","3","12","반도체 Multi-Utility 통합 최적화","PROPOSED_EXISTING_CHAPTER","B/C","EVIDENCE_B_C","Final_51CASE + 반도체공장 Big-data Utility historical source","false","","PHASE3_DRAFT_REVIEW"
"46","CASE46","PUE 이상을 냉방설비까지 추적한 다중 데이터센터 성능개선","A_42_51","5","23","데이터센터 PUE와 냉방 최적화","PROPOSED_EXISTING_CHAPTER","B/C","EVIDENCE_B_C","Final_51CASE + IDC 에너지성능 개선 historical source","false","","PHASE3_DRAFT_REVIEW"
"47","CASE47","PUE를 ‘보고용 숫자’에서 ‘운전 의사결정’으로 바꾼 다중 데이터센터 실시간 성능최적화","A_42_51","5","23","데이터센터 PUE와 냉방 최적화","PROPOSED_EXISTING_CHAPTER","C + B baseline","EVIDENCE_C_WITH_B_BASELINE","Final_51CASE + 2017 다중 IDC 성능최적화/IPOS 제안자료","false","","PHASE3_DRAFT_REVIEW"
"48","CASE48","133층 초고층 복합건물의 에너지성능을 설계 전에 예측한 DOE-2.1E Simulation","A_42_51","5","22","신축건물 Energy Modeling","PROPOSED_EXISTING_CHAPTER","D","SIMULATION_ONLY_D","Final_51CASE + 서울라이트타워 보고서 + 건물에너지 성능 비교분석 자료","false","","PHASE3_DRAFT_REVIEW"
"49","CASE49","외피·조명·열원설비 설계변경이 건물에너지에 미치는 영향을 비교한 Simulation","A_42_51","5","22","신축건물 Energy Modeling","PROPOSED_EXISTING_CHAPTER","D","SIMULATION_ONLY_D","Final_51CASE + 공덕빌딩 제안서 주요 실적(김천체육관 Simulation)","false","","PHASE3_DRAFT_REVIEW"
"50","CASE50","대형 오피스 빌딩의 창면적·유리성능 변화가 냉난방 에너지에 미치는 영향을 비교한 Simulation","A_42_51","5","22","신축건물 Energy Modeling","PROPOSED_EXISTING_CHAPTER","D","SIMULATION_ONLY_D|TITLE_BOUNDARY_MISMATCH_REVIEW","Final_51CASE + 공덕빌딩 제안서 주요 실적(보육시설 Passive House Simulation)","false","","PHASE3_DRAFT_REVIEW"
"51","CASE51","ASHRAE 90.1 Appendix G Baseline과 설계안을 비교한 대형 복합건물 LEED 에너지모델링","A_42_51","5","22","신축건물 Energy Modeling","PROPOSED_EXISTING_CHAPTER","D","SIMULATION_ONLY_D","Final_51CASE + 공덕빌딩 제안서 주요 실적 + LEED EAc1 historical source","false","","PHASE3_DRAFT_REVIEW"
"52","CASE52","공기압축기 부하율·Loading/Unloading 분석을 통한 적정 가동대수 Test & Adjust","B_52_64","4","14","공기압축기 시스템 운전최적화","PROPOSED_EXISTING_CHAPTER","EVIDENCE-VERIFIED","","Protected CASE52~82 prior Final Story","false","","PHASE3_DRAFT_REVIEW"
"53","CASE53","냉동기 냉수 출구온도 Set Point 상향을 통한 냉동효율 개선 및 전력절감","B_52_64","3","11","냉동기 Plant 최적화","PROPOSED_EXISTING_CHAPTER","EVIDENCE-VERIFIED","","Protected CASE52~82 prior Final Story","false","","PHASE3_DRAFT_REVIEW"
"54","CASE54","CDA Header 압력기반 통합제어를 통한 공기압축기 공급압력 최적화 및 전력절감","B_52_64","4","14","공기압축기 시스템 운전최적화","PROPOSED_EXISTING_CHAPTER","EVIDENCE-VERIFIED","","Protected CASE52~82 prior Final Story","false","","PHASE3_DRAFT_REVIEW"
"55","CASE55","냉수 사용유량 분석 및 적정용량 펌프 선정·교체를 통한 냉수펌프 전력절감","B_52_64","3","11","냉동기 Plant 최적화","PROPOSED_EXISTING_CHAPTER","EVIDENCE-VERIFIED","","Protected CASE52~82 prior Final Story","false","","PHASE3_DRAFT_REVIEW"
