caseId,caseNo,webTitle,proposedPart,proposedChapter,proposedChapterTitle,overlapWithCurrentCase,overlapRelation,overlapConfidence,bookRevisionCandidate,userConfirmation,currentBookChanged,productionWebChanged,notes
"CASE42","42","반도체·디스플레이 제조시설 Utility 운전최적화와 실시간 효율관리 체계 구축","3","12","반도체 Multi-Utility 통합 최적화","CASE11","SAME_PROJECT_EXPANDED_COMPANION","HIGH","YES","PENDING","NO","NO",""
"CASE43","43","냉동·공조·압축공기 통합 운전분석을 통한 Utility Balance 최적화","3","12","반도체 Multi-Utility 통합 최적화","CASE12","SAME_PROJECT_EXPANDED_COMPANION","HIGH","YES","PENDING","NO","NO",""
"CASE44","44","4개 생산시설 Utility 성능 Benchmark를 통한 UPI·가동대수 최적화","3","12","반도체 Multi-Utility 통합 최적화","CASE13","SAME_PROJECT_EXPANDED_COMPANION","HIGH","YES","PENDING","NO","NO",""
"CASE45","45","고효율 반도체공장에서 Big-data로 찾아낸 Utility 잔여 절감기회","3","12","반도체 Multi-Utility 통합 최적화","CASE14","SAME_PROJECT_EXPANDED_COMPANION","HIGH","YES","PENDING","NO","NO",""
"CASE46","46","PUE 이상을 냉방설비까지 추적한 다중 데이터센터 성능개선","5","24","데이터센터 PUE와 냉방 최적화","CASE38","UMBRELLA_TO_SUBCASES","HIGH","YES","PENDING","NO","NO",""
"CASE47","47","PUE를 ‘보고용 숫자’에서 ‘운전 의사결정’으로 바꾼 다중 데이터센터 실시간 성능최적화","5","24","데이터센터 PUE와 냉방 최적화","CASE39","UMBRELLA_TO_PLATFORM_DEEP_DIVES","HIGH","YES","PENDING","NO","NO",""
"CASE48","48","133층 초고층 복합건물의 에너지성능을 설계 전에 예측한 DOE-2.1E Simulation","5","23","신축건물 Energy Modeling","CASE36","SAME_PROJECT_DEEP_DIVE","HIGH","YES","PENDING","NO","NO",""
"CASE49","49","외피·조명·열원설비 설계변경이 건물에너지에 미치는 영향을 비교한 Simulation","5","23","신축건물 Energy Modeling","","","","YES","PENDING","NO","NO",""
"CASE50","50","대형 오피스 빌딩의 창면적·유리성능 변화가 냉난방 에너지에 미치는 영향을 비교한 Simulation","5","23","신축건물 Energy Modeling","","","","YES","PENDING","NO","NO","Source Reconciliation required before approval"
"CASE51","51","ASHRAE 90.1 Appendix G Baseline과 설계안을 비교한 대형 복합건물 LEED 에너지모델링","5","23","신축건물 Energy Modeling","CASE35","SAME_PROJECT_DEEP_DIVE","HIGH","YES","PENDING","NO","NO",""
"CASE52","52","공기압축기 부하율·Loading/Unloading 분석을 통한 적정 가동대수 Test & Adjust","4","14","공기압축기 시스템 운전최적화","","","","YES","PENDING","NO","NO",""
"CASE53","53","냉동기 냉수 출구온도 Set Point 상향을 통한 냉동효율 개선 및 전력절감","3","11","냉동기 Plant 최적화","CASE10","RELATED_CHILLER_PLANT_METHODS","REVIEW_REQUIRED","YES","PENDING","NO","NO",""
"CASE54","54","CDA Header 압력기반 통합제어를 통한 공기압축기 공급압력 최적화 및 전력절감","4","14","공기압축기 시스템 운전최적화","","","","YES","PENDING","NO","NO",""
"CASE55","55","냉수 사용유량 분석 및 적정용량 펌프 선정·교체를 통한 냉수펌프 전력절감","3","11","냉동기 Plant 최적화","CASE10","RELATED_CHILLER_PLANT_METHODS","REVIEW_REQUIRED","YES","PENDING","NO","NO",""
"CASE56","56","냉동기 교체운전 Test를 통한 호기별 kW/RT 실측 비교 및 고효율 운전순서 결정","3","11","냉동기 Plant 최적화","CASE10","RELATED_CHILLER_PLANT_METHODS","REVIEW_REQUIRED","YES","PENDING","NO","NO",""
"CASE57","57","5℃·13℃ 냉수계통 부하분담 최적화를 통한 냉동기 가동대수 및 반송동력 절감","3","11","냉동기 Plant 최적화","CASE10","RELATED_CHILLER_PLANT_METHODS","REVIEW_REQUIRED","YES","PENDING","NO","NO",""
"CASE58","58","냉각수펌프 설계유량 적용 Test를 통한 펌프 운전점 및 소비동력 최적화","3","11","냉동기 Plant 최적화","CASE10","RELATED_CHILLER_PLANT_METHODS","REVIEW_REQUIRED","YES","PENDING","NO","NO",""
"CASE59","59","CDA 공기압축기 저효율 호기 진단 및 성능저하 원인분석을 통한 효율개선","4","14","공기압축기 시스템 운전최적화","","","","YES","PENDING","NO","NO",""
"CASE60","60","냉동유 첨가제 적용 전·후 kW/RT 비교를 통한 냉동기 효율개선 효과 검증","3","11","냉동기 Plant 최적화","CASE10","RELATED_CHILLER_PLANT_METHODS","REVIEW_REQUIRED","YES","PENDING","NO","NO",""
"CASE61","61","CDA 압축공기 Demand 패턴 분석 및 수요 변동폭 저감을 통한 공기압축기 가동대수 최적화","4","14","공기압축기 시스템 운전최적화","","","","YES","PENDING","NO","NO",""
"CASE62","62","냉각수 입구온도 단계별 Test를 통한 냉동기 최적 운전온도 탐색","3","11","냉동기 Plant 최적화","CASE10","RELATED_CHILLER_PLANT_METHODS","REVIEW_REQUIRED","YES","PENDING","NO","NO",""
"CASE63","63","냉동기 부하율 분석 및 냉수밸브 조정을 통한 고효율 냉동기 고부하 운전 최적화","3","11","냉동기 Plant 최적화","CASE10","RELATED_CHILLER_PLANT_METHODS","REVIEW_REQUIRED","YES","PENDING","NO","NO",""
"CASE64","64","냉동기 가동대수 8대→7대 최적화를 통한 시스템 에너지원단위 개선","3","11","냉동기 Plant 최적화","CASE10","RELATED_CHILLER_PLANT_METHODS","REVIEW_REQUIRED","YES","PENDING","NO","NO",""
"CASE65","65","보일러 호기별 에너지원단위 비교 및 고효율 호기 우선운전을 통한 시스템 효율개선","4","15","보일러 시스템 운전최적화","","","","YES","PENDING","NO","NO",""
"CASE66","66","보일러 부하율과 연료 원단위 상관분석을 통한 가동대수 및 고효율 운전영역 최적화","4","15","보일러 시스템 운전최적화","","","","YES","PENDING","NO","NO",""
"CASE67","67","보일러 배기가스 온도·O₂ 농도와 연료 원단위 상관분석을 통한 연소효율 개선","4","15","보일러 시스템 운전최적화","","","","YES","PENDING","NO","NO",""
"CASE68","68","보일러 스팀유량 계측 이상 진단 및 데이터 정합성 확보를 통한 효율평가 신뢰성 개선","4","15","보일러 시스템 운전최적화","","","","YES","PENDING","NO","NO",""
"CASE69","69","보일러 스팀 공급압력 패턴 분석을 통한 적정 증기압력 운전 및 연료손실 저감","4","15","보일러 시스템 운전최적화","","","","YES","PENDING","NO","NO",""
"CASE70","70","데이터센터 PUE 이상분석을 통한 냉방기 Fan 단독운전 문제 진단","5","24","데이터센터 PUE와 냉방 최적화","CASE38","UMBRELLA_TO_SUBCASES","HIGH","YES","PENDING","NO","NO",""
"CASE71","71","데이터센터 냉방기 Fan 성능분석을 통한 고효율 EC Fan 교체 및 냉방전력 절감","5","24","데이터센터 PUE와 냉방 최적화","CASE38","UMBRELLA_TO_SUBCASES","HIGH","YES","PENDING","NO","NO",""
"CASE72","72","데이터센터 외기조건 분석을 통한 외기냉방 적용시간 확대 및 기계냉방 부하 저감","5","24","데이터센터 PUE와 냉방 최적화","CASE38","UMBRELLA_TO_SUBCASES","HIGH","YES","PENDING","NO","NO",""
"CASE73","73","데이터센터 냉각탑 설정온도 최적화를 통한 냉동기·냉각탑 통합 냉방전력 저감","5","24","데이터센터 PUE와 냉방 최적화","CASE38","UMBRELLA_TO_SUBCASES","HIGH","YES","PENDING","NO","NO",""
"CASE74","74","다중 데이터센터 PUE·냉방효율 실시간 진단 및 IPOS 성능최적화 플랫폼 구축","5","24","데이터센터 PUE와 냉방 최적화","CASE39","UMBRELLA_TO_PLATFORM_DEEP_DIVES","HIGH","YES","PENDING","NO","NO",""
"CASE75","75","발전소 호기별 소내전력률 Benchmark를 통한 보조기기 효율편차 진단 및 개선 우선순위 도출","4","20","발전소 보조기기","CASE28","UMBRELLA_TO_SUBCASES","MEDIUM_HIGH","YES","PENDING","NO","NO",""
"CASE76","76","발전소 급수·복수·해수펌프 가동대수와 VFD·유량·압력 통합 운전최적화","4","20","발전소 보조기기","CASE28","UMBRELLA_TO_SUBCASES","MEDIUM_HIGH","YES","PENDING","NO","NO",""
"CASE77","77","데이터센터 지원시설 부하리스트·소비패턴 분석을 통한 상시 Base Load 및 설비운영 개선","5","24","데이터센터 PUE와 냉방 최적화","","","","YES","PENDING","NO","NO",""
"CASE78","78","냉각수펌프별 소비전력·운전상태 비교를 통한 성능열위 펌프 진단 및 운전 최적화","3","11","냉동기 Plant 최적화","CASE10","RELATED_CHILLER_PLANT_METHODS","REVIEW_REQUIRED","YES","PENDING","NO","NO",""
"CASE79","79","냉방부하·운전대수 분석을 통한 데이터센터 냉수펌프 과다운전 진단 및 운전 최적화","5","24","데이터센터 PUE와 냉방 최적화","","","","YES","PENDING","NO","NO",""
"CASE80","80","냉방부하·냉동기 가동대수 분석을 통한 부분부하 과다운전 진단 및 냉동기 운전조합 최적화","5","24","데이터센터 PUE와 냉방 최적화","","","","YES","PENDING","NO","NO",""
"CASE81","81","외기조건·냉각수온도 분석을 통한 데이터센터 냉각탑 성능열위 진단 및 성능개선","5","24","데이터센터 PUE와 냉방 최적화","CASE38","UMBRELLA_TO_SUBCASES","HIGH","YES","PENDING","NO","NO",""
"CASE82","82","Peak·Load Factor 분석을 통한 데이터센터 계약전력 적정성 진단 및 기본요금 절감","5","24","데이터센터 PUE와 냉방 최적화","","","","YES","PENDING","NO","NO",""
